iter	RMSE
244	512630.9856
245	512427.0311
246	512228.8456
247	512055.641
248	511922.2653
249	511725.899
250	511540.8914
251	511356.2396
252	511147.0214
253	510973.7058
254	510790.725
255	510588.751
256	510385.0616
257	510179.5197
258	509987.689
259	509778.86
260	509540.1475
261	509316.1423
262	509096.7088
263	508880.7943
264	508667.9259
265	508469.7618
266	508262.1335
267	508061.5628
268	507864.2405
269	507663.1397
270	507523.8251
271	507345.5177
272	507164.2646
273	506987.9107
274	506763.773
275	506595.1988
276	506392.9207
277	506213.2634
278	506007.709
279	505809.7964
280	505634.6195
281	505437.7899
282	505225.1804
283	505051.3626
284	504847.5187
285	504641.0026
286	504466.0221
287	504305.616
288	504131.1149
289	503931.7768
290	503721.7718
291	503511.5558
292	503302.2477
293	503131.3693
294	502930.8522
295	502742.3759
296	502553.8726
297	502363.6728
298	502178.3837
299	501964.3339
300	501729.455
301	501552.4617
302	501374.3977
303	501153.1193
304	500996.042
305	500821.9917
306	500637.295
307	500461.8999
308	500285.7447
309	500119.7425
310	499927.064
311	499726.3691
312	499522.2819
313	499344.772
314	499131.2842
315	498953.3367
316	498759.5205
317	498590.1568
318	498400.5107
319	498231.8448
320	498069.8164
321	497921.7477
322	497763.5304
323	497556.1357
324	497374.7393
325	497192.2344
326	497042.4412
327	496858.3297
328	496648.0986
329	496464.0426
330	496276.4725
331	496072.191
332	495880.6085
333	495649.7854
334	495496.0524
335	495316.1169
336	495158.7217
337	494989.613
338	494838.7697
339	494638.0693
340	494449.0239
341	494270.3025
342	494095.8106
343	493941.5554
344	493791.9446
345	493657.5095
346	493492.1052
347	493299.5525
348	493155.2531
349	493001.1304
350	492808.7549
351	492612.8473
352	492442.1565
353	492255.5543
354	492071.621
355	491930.6802
356	491770.352
357	491617.4516
358	491422.1471
359	491253.4391
360	491132.7218
361	490977.6476
362	490815.5197
363	490638.4528
364	490427.8253
365	490260.9295
366	490114.8865
367	489946.2368
368	489750.4661
369	489582.4385
370	489396.8561
371	489234.7245
372	489104.2696
373	488955.5174
374	488778.67
375	488611.7409
376	488456.1692
377	488298.5778
378	488149.197
379	487994.006
380	487836.2855
381	487672.5673
382	487502.0313
383	487342.0641
384	487162.0345
385	486966.6351
386	486810.068
387	486660.7502
388	486495.3826
389	486368.1016
390	486205.3326
391	486012.5001
392	485856.7075
393	485683.7897
394	485534.4106
395	485358.7994
396	485179.2033
397	485019.1462
398	484833.7347
399	484674.8375
400	484512.8524
401	484330.1761
402	484178.1353
403	484021.0353
404	483883.4962
405	483715.2694
406	483522.3121
407	483359.585
408	483182.7962
409	483047.078
410	482884.6332
411	482698.0753
412	482528.3215
413	482336.2714
414	482163.4533
415	481988.666
416	481775.8379
417	481620.8842
418	481476.5572
419	481331.9628
420	481179.7003
421	480999.735
422	480866.2915
423	480690.7163
424	480509.4766
425	480341.044
426	480166.6229
427	480002.764
428	479854.7056
429	479698.9399
430	479545.6867
431	479396.8178
432	479242.544
433	479079.9504
434	478906.2442
435	478737.6271
436	478611.4828
437	478456.6645
438	478310.0702
439	478151.8104
440	478003.6317
441	477859.6884
442	477727.0968
443	477595.2693
444	477448.0551
445	477263.6186
446	477096.0488
447	476941.0244
448	476791.6141
449	476634.513
450	476473.6259
451	476311.8082
452	476138.8448
453	475992.3798
454	475815.0343
455	475625.3572
456	475483.4544
457	475344.675
458	475136.5385
459	474997.9222
460	474843.648
461	474729.9255
462	474586.0061
463	474425.811
464	474258.7473
465	474108.5184
466	473957.3189
467	473796.3711
468	473652.0571
469	473479.5133
470	473341.4732
471	473192.7783
472	473032.9449
473	472874.6824
474	472671.671
475	472552.096
476	472401.8232
477	472288.4608
478	472114.4908
479	471947.4913
480	471790.5682
481	471621.3131
482	471475.4587
483	471336.4052
484	471194.6717
485	471044.8876
486	470895.6838
487	470707.0292
488	470570.1178
489	470396.1869
490	470233.6329
491	470078.2277
492	469923.0547
493	469729.2178
494	469590.067
495	469477.3267
496	469316.3775
497	469163.4952
498	469017.5142
499	468865.0687
500	468726.7957
501	468581.3428
502	468411.3724
503	468280.4317
504	468091.66
505	467954.7471
506	467809.2936
507	467626.5237
508	467468.5121
509	467317.8616
510	467186.8409
511	467048.1775
512	466938.3056
513	466837.3674
514	466687.9586
515	466536.7803
516	466352.5383
517	466218.0883
518	466054.2861
519	465893.9195
520	465740.4148
521	465596.6218
522	465443.5539
523	465262.8117
524	465142.0988
525	464970.7833
526	464841.8533
527	464712.8908
528	464563.929
529	464423.1066
530	464258.0231
531	464129.1355
532	463950.6522
533	463787.5125
534	463597.8369
535	463422.104
536	463254.127
537	463106.1955
538	462945.3838
539	462793.2183
540	462624.8353
541	462441.3665
542	462316.4245
543	462198.4007
544	462091.6553
545	461965.8022
546	461786.9203
547	461655.4698
548	461494.8228
549	461314.0065
550	461177.0852
551	461050.6139
552	460899.0782
553	460768.3677
554	460640.7933
555	460510.6151
556	460385.4322
557	460216.1619
558	460050.7518
559	459901.6835
560	459758.7284
561	459608.1351
562	459453.7644
563	459330.9456
564	459184.713
565	459060.7534
566	458909.7532
567	458729.2727
568	458554.678
569	458458.5671
570	458314.8143
571	458194.3799
572	458068.1253
573	457944.5355
574	457797.55
575	457648.3823
576	457517.9251
577	457413.8928
578	457287.241
579	457162.2508
580	457015.5815
581	456839.7856
582	456737.8235
583	456580.8141
584	456463.8888
585	456317.5795
586	456181.8686
587	456035.6086
588	455866.5529
589	455740.4508
590	455614.7044
591	455490.9202
592	455367.8398
593	455204.1904
594	455082.3962
595	454947.108
596	454779.4864
597	454663.955
598	454558.1418
599	454441.407
600	454314.4404
601	454160.1556
602	454008.0903
603	453869.8626
604	453755.4246
605	453633.8167
606	453510.1207
607	453364.2263
608	453211.193
609	453098.8338
610	452982.4491
611	452876.2194
612	452746.5463
613	452630.9307
614	452511.5679
615	452339.6819
616	452214.6231
617	452087.405
618	451951.3202
619	451781.1797
620	451662.8891
621	451527.2774
622	451370.1837
623	451235.562
624	451103.7007
625	450928.5101
626	450780.4604
627	450685.7949
628	450512.796
629	450393.3148
630	450234.897
631	450104.8486
632	449994.8144
633	449862.6252
634	449755.5144
635	449651.2126
636	449530.2211
637	449379.8411
638	449237.3709
639	449121.9671
640	448957.4139
641	448852.132
642	448687.853
643	448530.1983
644	448355.7193
645	448227.9537
646	448098.7321
647	447987.2788
648	447865.6603
649	447763.2428
650	447666.4329
651	447501.8057
652	447394.3453
653	447279.0727
654	447156.1893
655	447024.6439
656	446847.2053
657	446725.7036
658	446600.1168
659	446502.7464
660	446373.5734
661	446207.5531
662	446133.8088
663	445986.7331
664	445879.4829
665	445769.6478
666	445646.6331
667	445519.7074
668	445410.4937
669	445277.0926
670	445137.321
671	445015.4154
672	444920.5348
673	444796.4274
674	444679.832
675	444550.2241
676	444431.9009
677	444310.8213
678	444187.1614
679	444062.9607
680	443937.2943
681	443819.6079
682	443651.5389
683	443497.8478
684	443368.6266
685	443227.2449
686	443109.4028
687	442993.7866
688	442879.0727
689	442773.5702
690	442640.1841
691	442519.7619
692	442392.2738
693	442258.51
694	442143.5424
695	442026.6084
696	441923.1229
697	441822.9957
698	441711.8631
699	441583.7714
700	441474.6391
701	441322.0028
702	441208.9767
703	441096.6368
704	441015.7213
705	440869.1622
706	440739.9441
707	440633.2886
708	440496.8002
709	440395.8033
710	440274.6773
711	440158.4789
712	440035.2104
713	439910.2154
714	439770.6039
715	439668.7888
716	439541.6066
717	439414.9763
718	439295.4372
719	439170.3519
720	439001.1352
721	438867.5934
722	438762.7451
723	438631.3913
724	438467.1482
725	438364.2848
726	438244.0911
727	438090.4322
728	437994.5661
729	437860.6928
730	437764.8064
731	437661.9379
732	437566.3681
733	437437.3526
734	437339.2774
735	437177.1656
736	437018.6669
737	436931.502
738	436806.2225
739	436661.9882
740	436540.9671
741	436378.6727
742	436282.4622
743	436170.0109
744	436027.8163
745	435907.1681
746	435778.3351
747	435646.803
748	435523.5711
749	435418.7571
750	435288.7883
751	435163.831
752	435040.2673
753	434910.8736
754	434795.5116
755	434684.8582
756	434562.3043
757	434413.0443
758	434261.6761
759	434161.1589
760	434039.3137
761	433917.1344
762	433816.7074
763	433706.4011
764	433578.5338
765	433445.0681
766	433296.8449
767	433224.9101
768	433098.9665
769	432978.7776
770	432849.163
771	432738.7756
772	432579.2465
773	432478.3575
774	432345.4572
775	432184.3366
776	432079.3547
777	431993.7344
778	431863.8131
779	431735.9802
780	431644.1582
781	431549.0735
782	431446.9925
783	431322.0149
784	431226.0836
785	431111.418
786	430999.3163
787	430873.2616
788	430800.3308
789	430714.5228
790	430605.8161
791	430515.0979
792	430409.4305
793	430304.9964
794	430187.9468
795	430079.1632
796	429966.8471
797	429829.8482
798	429711.9301
799	429617.4842
800	429509.9365
801	429399.5111
802	429287.54
803	429168.4217
804	429051.259
805	428940.1577
806	428836.7659
807	428716.036
808	428611.5277
809	428477.4667
810	428383.6364
811	428256.3324
812	428148.1711
813	428039.6107
814	427900.9111
815	427747.2356
816	427651.0058
817	427506.1213
818	427394.9991
819	427277.9979
820	427181.0542
821	427058.9704
822	426915.3225
823	426794.4236
824	426677.4706
825	426571.5882
826	426474.0824
827	426367.4724
828	426259.0329
829	426144.1351
830	425981.8531
831	425904.1801
832	425789.8362
833	425662.0977
834	425505.1713
835	425425.6315
836	425316.7913
837	425232.8932
838	425156.2867
839	425047.5252
840	424956.5078
841	424846.2762
842	424739.5181
843	424628.2895
844	424518.0446
845	424435.0012
846	424355.6505
847	424279.1658
848	424175.6871
849	424054.9506
850	423948.215
851	423840.8991
852	423761.0748
853	423603.3744
854	423495.5586
855	423386.6683
856	423280.1234
857	423187.9238
858	423076.1432
859	422966.1849
860	422848.8505
861	422713.2214
862	422587.309
863	422449.8869
864	422312.9604
865	422185.1909
866	422048.736
867	421953.4609
868	421840.4728
869	421702.4915
870	421578.7372
871	421459.5841
872	421340.5452
873	421231.6934
874	421135.0915
875	421060.0396
876	420975.013
877	420854.5618
878	420751.7219
879	420618.6333
880	420517.7101
881	420380.4318
882	420227.6765
883	420085.0349
884	419963.0464
885	419839.6837
886	419745.9258
887	419636.3503
888	419498.7831
889	419416.6899
890	419319.3994
891	419257.1873
892	419159.1269
893	419028.594
894	418927.3153
895	418835.6995
896	418725.2534
897	418613.7852
898	418509.5254
899	418437.4171
900	418347.1519
901	418229.4529
902	418155.7397
903	418037.0336
904	417931.6496
905	417865.9748
906	417778.5778
907	417676.8779
908	417585.7938
909	417518.1875
910	417447.9996
911	417339.5679
912	417202.7242
913	417117.9534
914	417020.5037
915	416913.4922
916	416782.87
917	416672.9954
918	416563.3854
919	416452.643
920	416362.0005
921	416305.1331
922	416245.2504
923	416160.8245
924	416036.2307
925	415932.8602
926	415836.1562
927	415720.7679
928	415616.994
929	415546.1818
930	415446.084
931	415354.9646
932	415236.3231
933	415161.0467
934	415094.6236
935	414960.587
936	414833.0701
937	414750.981
938	414660.8512
939	414576.5582
940	414476.8613
941	414373.6124
942	414277.6186
943	414203.1763
944	414097.5287
945	413993.0809
946	413913.2705
947	413773.5465
948	413683.2357
949	413615.916
950	413505.9022
951	413387.3437
952	413273.7638
953	413209.1597
954	413104.3961
955	413016.7204
956	412892.3885
957	412809.5848
958	412716.0167
959	412625.7689
960	412540.0989
961	412426.8788
962	412307.1813
963	412172.978
964	412088.3685
965	411998.428
966	411901.3673
967	411795.1974
968	411706.5957
969	411648.8642
970	411533.7103
971	411462.017
972	411321.8719
973	411245.3285
974	411137.6831
975	411059.1429
976	410945.6779
977	410843.5627
978	410770.7311
979	410693.2014
980	410575.7357
981	410469.4231
982	410348.794
983	410260.5842
984	410179.6966
985	410090.6258
986	409993.0458
987	409894.266
988	409798.3893
989	409701.3992
990	409600.696
991	409489.7974
992	409400.0623
993	409264.4583
994	409142.6967
995	409044.0407
996	408928.7427
997	408854.5887
998	408760.3343
999	408699.8371
